Date,URL
2015-01,https://web.archive.org/web/20150101105320/https://en.wikipedia.org/wiki/Elon_Musk
2015-06,https://web.archive.org/web/20150601101049/https://en.wikipedia.org/wiki/Elon_Musk
2016-01,https://web.archive.org/web/20160114075700/https://en.wikipedia.org/wiki/Elon_Musk
2016-06,https://web.archive.org/web/20160602120114/https://en.wikipedia.org/wiki/Elon_Musk
2017-01,https://web.archive.org/web/20170110221932/https://en.wikipedia.org/wiki/Elon_Musk
2017-06,https://web.archive.org/web/20170601061618/https://en.wikipedia.org/wiki/Elon_Musk
2018-01,https://web.archive.org/web/20180101084306/https://en.wikipedia.org/wiki/Elon_Musk
2018-06,https://web.archive.org/web/20180601081336/https://en.wikipedia.org/wiki/Elon_Musk
2019-01,https://web.archive.org/web/20190101220459/https://en.wikipedia.org/wiki/Elon_Musk
2019-06,https://web.archive.org/web/20190603000126/https://en.wikipedia.org/wiki/Elon_Musk
2020-01,https://web.archive.org/web/20200101085707/https://en.wikipedia.org/wiki/Elon_Musk
2020-06,https://web.archive.org/web/20200602190240/https://en.wikipedia.org/wiki/Elon_Musk
2021-01,https://web.archive.org/web/20210101135306/https://en.wikipedia.org/wiki/Elon_Musk
2021-06,https://web.archive.org/web/20210603090219/https://en.wikipedia.org/wiki/Elon_Musk
2022-01,https://web.archive.org/web/20220104170920/https://en.wikipedia.org/wiki/Elon_Musk
2022-06,https://web.archive.org/web/20220606045100/https://en.wikipedia.org/wiki/Elon_Musk
2023-01,https://web.archive.org/web/20230101023525/https://en.wikipedia.org/wiki/Elon_Musk
2023-06,https://web.archive.org/web/20230601191141/https://en.wikipedia.org/wiki/Elon_Musk
2024-01,https://web.archive.org/web/20240101043038/https://en.wikipedia.org/wiki/Elon_Musk
2024-06,https://web.archive.org/web/20240602034947/https://en.wikipedia.org/wiki/Elon_Musk
2025-01,https://web.archive.org/web/20250101032259/https://en.wikipedia.org/wiki/Elon_Musk
2025-06,https://web.archive.org/web/20250630160225/https://en.wikipedia.org/wiki/Elon_Musk
